year_value,site_id,depth_to_gw_ft,depth_to_gw_m,latitude,longitude,data_source,region,bbox_side,open_et_version,scaled_annual_et_avg,mean_et,mean_precip,et_precip_ratio,precip_variation
2018,KSGS.374125100344101,248.83,75.843384,37.69024,-100.5795,USGS,Southern Kansas,10,2.0,767.946,717.7522857142858,581.6961,1.2338956344454275,1.9259341764938256
2019,KSGS.374125100344101,251.02,76.510896,37.69024,-100.5795,USGS,Southern Kansas,10,2.0,746.616,717.7522857142858,581.6961,1.2338956344454275,1.9259341764938256
2020,KSGS.374125100344101,251.09,76.532232,37.69024,-100.5795,USGS,Southern Kansas,10,2.1,802.172,717.7522857142858,581.6961,1.2338956344454275,1.9259341764938256
2000,KSGS.374747100552101,158.37,48.271176,37.79492,-100.9225,USGS,Southern Kansas,10,2.0,849.365,823.2621428571429,526.7621,1.562872815567568,1.8430612410790042
2001,KSGS.374747100552101,163.64,49.877472,37.79492,-100.9225,USGS,Southern Kansas,10,2.0,834.834,823.2621428571429,526.7621,1.562872815567568,1.8430612410790042
2002,KSGS.374747100552101,168.24,51.279552,37.79492,-100.9225,USGS,Southern Kansas,10,2.0,809.604,823.2621428571429,526.7621,1.562872815567568,1.8430612410790042
2003,KSGS.374747100552101,176.19,53.702712,37.79492,-100.9225,USGS,Southern Kansas,10,2.0,831.98,823.2621428571429,526.7621,1.562872815567568,1.8430612410790042
2004,KSGS.374747100552101,182.89,55.744872,37.79492,-100.9225,USGS,Southern Kansas,10,2.0,789.526,823.2621428571429,526.7621,1.562872815567568,1.8430612410790042
2005,KSGS.374747100552101,187.98,57.296304,37.79492,-100.9225,USGS,Southern Kansas,10,2.0,871.556,823.2621428571429,526.7621,1.562872815567568,1.8430612410790042
2006,KSGS.374747100552101,193.2,58.88736,37.79492,-100.9225,USGS,Southern Kansas,10,2.0,766.025,823.2621428571429,526.7621,1.562872815567568,1.8430612410790042
2007,KSGS.374747100552101,199.8,60.89904,37.79492,-100.9225,USGS,Southern Kansas,10,2.0,842.933,823.2621428571429,526.7621,1.562872815567568,1.8430612410790042
2008,KSGS.374747100552101,204.7,62.39256,37.79492,-100.9225,USGS,Southern Kansas,10,2.0,780.609,823.2621428571429,526.7621,1.562872815567568,1.8430612410790042
